variedad,entrena_con,n,mape_oos,mape_propio,ganancia,ratio,decision
ARANA,JUPITER,311,26.79,27.01,0.23,1.57,aceptable
AZRA,POP,78,27.19,33.62,6.43,1.59,aceptable
MAGNUS,ROSITA,37,28.85,41.8,12.96,1.69,aceptable
TERRAPIN,KIRRA,60,29.6,97.23,67.63,1.73,aceptable
BONITA,JUPITER,39,31.12,31.9,0.78,1.82,aceptable
MAGICA,MAGICA,509,5.65,5.65,0.0,1.0,ancla
KIRRA,KIRRA,375,6.29,6.29,0.0,1.0,ancla
JUPITER,JUPITER,662,7.22,7.22,0.0,1.0,ancla
ROSITA,ROSITA,305,7.25,7.25,0.0,1.0,ancla
EMERALD,EMERALD,354,8.44,8.44,0.0,1.0,ancla
VENTURA,VENTURA,2174,8.9,8.9,0.0,1.0,ancla
BIANCA,BIANCA,1612,10.4,10.4,0.0,1.0,ancla
BEAUTY,BEAUTY,2422,11.14,11.14,0.0,1.0,ancla
POP,POP,5760,13.96,13.96,0.0,1.0,ancla
ATLAS,ATLAS,1296,91.46,91.46,0.0,1.0,ancla
MALIBU,POP,67,21.04,18.55,-2.49,1.23,bueno
STELLA,ATLAS,35,22.25,43.02,20.77,1.3,bueno
MASIRAH,VENTURA,56,23.9,32.56,8.66,1.4,bueno
RAYMI,POP,258,24.86,22.8,-2.07,1.46,bueno
BILOXI,KIRRA,180,24.97,12.28,-12.68,1.46,bueno
FCM17-132,KIRRA,48,25.06,35.2,10.13,1.47,bueno
BELLA,JUPITER,195,25.38,21.6,-3.78,1.49,bueno
MADEIRA,VENTURA,66,25.44,27.0,1.56,1.49,bueno
