variedad,entrena_con,decision,mape_oos,ganancia
ARANA,JUPITER,aceptable,26.79,0.23
AZRA,POP,aceptable,27.19,6.43
MAGNUS,ROSITA,aceptable,28.85,12.96
TERRAPIN,KIRRA,aceptable,29.6,67.63
BONITA,JUPITER,aceptable,31.12,0.78
MAGICA,MAGICA,ancla,5.65,0.0
KIRRA,KIRRA,ancla,6.29,0.0
JUPITER,JUPITER,ancla,7.22,0.0
ROSITA,ROSITA,ancla,7.25,0.0
EMERALD,EMERALD,ancla,8.44,0.0
VENTURA,VENTURA,ancla,8.9,0.0
BIANCA,BIANCA,ancla,10.4,0.0
BEAUTY,BEAUTY,ancla,11.14,0.0
POP,POP,ancla,13.96,0.0
ATLAS,ATLAS,ancla,91.46,0.0
MALIBU,POP,bueno,21.04,-2.49
STELLA,ATLAS,bueno,22.25,20.77
MASIRAH,VENTURA,bueno,23.9,8.66
RAYMI,POP,bueno,24.86,-2.07
BILOXI,KIRRA,bueno,24.97,-12.68
FCM17-132,KIRRA,bueno,25.06,10.13
BELLA,JUPITER,bueno,25.38,-3.78
MADEIRA,VENTURA,bueno,25.44,1.56
